db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n265891949,Střed těla,100,1,2015,160,Ikar,naučná,české</p>,,Ploché a vyrýsované břišní svaly jako středobod fyzické dokonalosti. Svaly v oblasti spodní části trupu poskytují tělu podporu a mobilitu a právě jejich prostřednictvím vzniká...,238,299,"['Ikar, naučná', '', 'české']"
n306606062,Posilování bez nářadí - Přes 100 ve ...,90,0,2015,160,Ikar,naučná,české</p>,,"Perfektní cviky pro zlepšení fyzické kondice a vytvarování těla, které můžete cvičit kdekoliv a kdykoliv. Nepotřebujete žádné sportovní náčiní. Nejúčinnější pomůcku totiž máte...",238,299,"['Ikar, naučná', '', 'české']"
n250445326,"Euromedia Group, k.s. Pleteme bez jehlic",95,2,2015,96,Ikar,naučná,české</p>,,"Dvě techniky v jednom: pletení na ruce a na prstech

Hit pletených doplňků! 29 skvělých návrhů s podrobným návodem. Můžete plést kdekoli, jehlice nepotřebujete. Do světa...",158,199,"['Ikar, naučná', '', 'české']"
n673220961,"Pleteme pejsky, kočičky a myšky - Steffi Hochfellner",0,0,2015,144,Ikar,naučná,české</p>,,"Milovníci ručních prací najdou v knize návody na 36 pletených figurek, jednoduchých i náročnějších modelů, které se mohou stát inspirací pro vlastní výtvory. Díky rafinované...",238,299,"['Ikar, naučná', '', 'české']"
n313670732,"Euromedia Group, k.s. Říše divů",75,1,2015,96,Ikar,naučná,české</p>,,"Říše divů - omalovánky pro dospělé
 
Barvy ovlivňují život celého lidstva zcela nenápadně, ale velmi intenzivně. Vybarvování a kreslení je pomalá a krásná relaxační činnost....",157,199,"['Ikar, naučná', '', 'české']"
n298681165,Lezení na umělých stěnách,90,4,2015,128,Ikar,naučná,české</p>,,"Fascinující svět umělých stěn - tady lze zažít dobrodružství, aniž se vystavujete nebezpečí spojenému s alpinismem, jako je padání kamenů nebo bouřka. Díky modernímu a snadno...",23,200,"['Ikar, naučná', '', 'české']"
n234658729,Nápaditý patchwork - Jessica Alexandrakisová,88,2,2015,144,Ikar,naučná,české</p>,,"Nápaditý patchwork kniha od autora Alexandrakisová Jessica. Šijte na dovolené, na pláži, na chatě, v autobusu či ve vlaku, kdekoli mimo domov. Šicí stroj nebudete potřebovat!...",222,251,"['Ikar, naučná', '', 'české']"
n633767050,Relaxační omalovánky: Kouzlo Orientu,0,0,2015,96,Ikar,naučná,české</p>,,"Vzory koberců, nádherné ornamenty na budovách či marocká mozaika – Orient nás přitahuje nejen svou barevností, kořením a vůněmi, ale také jedinečným uměním. 
Vydejte se na...",159,199,"['Ikar, naučná', '', 'české']"
n282255580,"Euromedia Group, k.s. Origami květiny",0,0,2015,128,Ikar,naučná,české</p>,,"Rádi se věnujete orientálnímu umění origami? Přidejte si do své sbírky nesčetných skládanek také 23 typů překrásných květin – lilii, růži, lotosový květ, plamének, sasanku,...",49,249,"['Ikar, naučná', '', 'české']"
n310513691,Čepice a kloboučky pro každou náladu,73,3,2015,96,Ikar,naučná,české</p>,,"Originální pletené modely jsou vytvořeny příznačným způsobem – každý zdůrazňuje jednu charakteristickou vlastnost, buď tvar, barvu, detail či strukturu. Neotřelé nápady, jak...",158,199,"['Ikar, naučná', '', 'české']"
n551236103,Relaxační omalovánky: Tetování,0,0,2015,96,Ikar,naučná,české</p>,,Tetování se v posledních desetiletích stalo oblíbenou výrazovou formou. Pro všechny jeho obdivovatele přinášejí tyto omalovánky možnost vybarvit si 85 originálních motivů....,26,29,"['Ikar, naučná', '', 'české']"
n282255584,"Euromedia Group, k.s. Principy reflexologie",75,1,2015,144,Ikar,naučná,české</p>,,"Reflexní terapie spočívá v masáži reflexních bodů na chodidlech. Autorka důkladně vysvětlí, co můžete očekávat, rozhodnete-li se takovou léčbu podstoupit. Podrobně popisuje...",158,244,"['Ikar, naučná', '', 'české']"
n234658733,Detoxikace Charmaine Yabsley,85,2,2015,144,Ikar,naučná,české</p>,,"Organismus pročištěný už za 7 dní

Vyzkoušeli jste půst nebo rýžovou monodietu, syrovou stravu či makrobiotiku a nic nepomohlo? Jste unavení a chybí vám energie? Plán dokonalé...",239,276,"['Ikar, naučná', '', 'české']"
n306327265,"Euromedia Group, k.s. Cvičení paměti - 95 nápaditých her a...",0,0,2015,136,Ikar,naučná,české</p>,,"Nápaditá příručka je určená nejen k procvičování paměti a odhalovaní jejích slabých míst, ale je vhodná i pro pobavení. Část knihy je věnována teorii - co je to mozek, z čeho...",158,199,"['Ikar, naučná', '', 'české']"
n234658727,Papírové květiny - Jeffery Rudell,0,0,2015,132,Ikar,naučná,české</p>,,"Pryskyřník, astra, cínie, chryzantéma, růže, sedmikráska, kala, lilie... Kniha přináší výběr 25 ručně zhotovených květin, které lze použít do vázy, k vizitkám, na výzdobu...",238,269,"['Ikar, naučná', '', 'české']"
n274740072,"Kanclrobik - 100 nenápadných cviků pro fitness, koncentraci ...",0,0,2015,128,Ikar,naučná,české</p>,,"Jak žít zdravě při práci

Fit chceme být všichni – trénovaní a koncentrovaní. V kanceláři je potřeba specifická forma fitnessu, neboť při kancelářské práci mají lidé většinou...",179,179,"['Ikar, naučná', '', 'české']"
n304307879,"Sebeobrana. Nebuďte snadnou obětí! - Radim Pavelka, Jaroslav Stich - Ikar",0,0,2015,112,Ikar,naučná,české</p>,,"Každý z nás se může stát obětí násilí a každý z nás by se měl naučit co nejrychleji a nejefektivněji bránit. Autoři se věnují změnám, které probíhají v lidském těle, především...",224,249,"['Ikar, naučná', '', 'české']"
